R & Y Logistics,15,NULL,NULL,NULL
Sai Trading Co.,15,NULL,NULL,NULL
Samleswari Trad,15,NULL,NULL,NULL
Sarathi Enginee,15,NULL,NULL,NULL
S. Creditors fo,15,NULL,NULL,NULL
Seahorse,15,NULL,NULL,NULL
Sealinerks Pvt.,15,NULL,NULL,NULL
SGS Labs India,15,NULL,NULL,NULL
Shah Engineerin,15,NULL,NULL,NULL
Shakti Press,15,NULL,NULL,NULL
Sharma Motors,15,NULL,NULL,NULL
Shivam Enterpri,15,NULL,NULL,NULL
Shivshankar Ste,15,NULL,NULL,NULL
Shree Gayashank,15,NULL,NULL,NULL
Shree Radhye Go,15,NULL,NULL,NULL
Shyamji Traders,15,NULL,NULL,NULL
Sidharth Associ,15,NULL,NULL,NULL
Simran Oil Co.,15,NULL,NULL,NULL
Siyaram Packagi,15,NULL,NULL,NULL
S. M. Enterpris,15,NULL,NULL,NULL
S M Fluid Engin,15,NULL,NULL,NULL
Somnath Industr,15,NULL,NULL,NULL
Sravan Shipping,15,NULL,NULL,NULL
S. S. Enterpris,15,NULL,NULL,NULL
S S Techo Solut,15,NULL,NULL,NULL
S. S. Traders,0,NULL,NULL,NULL
Sulekh Gravures,15,NULL,NULL,NULL
Sunderdas D. Hu,15,NULL,NULL,NULL
Supreme Rubber ,15,NULL,NULL,NULL
Surabhi Interna,15,NULL,NULL,NULL
Suri Engineers ,15,NULL,NULL,NULL
Surya Roshini L,15,NULL,NULL,NULL
Swadesi Machine,15,NULL,NULL,NULL
System Services,15,NULL,NULL,NULL
Tanush Corporat,15,NULL,NULL,NULL
Teleflo Instrum,15,NULL,NULL,NULL
T. P. Bhattacha,15,NULL,NULL,NULL
Umiya Traders,15,NULL,NULL,NULL
Vageshwari Stee,15,NULL,NULL,NULL
Vetal Hi Tech I,15,NULL,NULL,NULL
CFS & CHA Charg,16,NULL,NULL,NULL
Consumables (No,16,NULL,NULL,NULL
Depreciation,16,NULL,NULL,NULL
Duties & Taxes,16,NULL,NULL,NULL
Electricity Cha,16,NULL,NULL,NULL
Electricity Dut,16,NULL,NULL,NULL
Entry Tax,16,NULL,NULL,NULL
Forwarding & Cl,16,NULL,NULL,NULL
Freight Outward,16,NULL,NULL,NULL
Repairs & Maint,16,NULL,NULL,NULL
Shipping & Tran,16,NULL,NULL,NULL
Custom Milling ,17,NULL,NULL,NULL
Computer,18,NULL,NULL,NULL
Factory Buildin,18,NULL,NULL,NULL
Furnitures,18,NULL,NULL,NULL
Land A/c,18,NULL,NULL,NULL
Other Building,18,NULL,NULL,NULL
Plant & Machine,18,NULL,NULL,NULL
Plant & Machine,18,NULL,NULL,NULL
Plant & Machine,18,NULL,NULL,NULL
Plant & Machine,18,NULL,NULL,NULL
Vehicles,18,NULL,NULL,NULL
Weighbridge,18,NULL,NULL,NULL
Accounting Char,19,NULL,NULL,NULL
Agility Logisti,19,NULL,NULL,NULL
Audit Fees,19,NULL,NULL,NULL
Audit & Legal F,19,NULL,NULL,NULL
Bad Debts,19,NULL,NULL,NULL
Bank Charges,19,NULL,NULL,NULL
Bonus,19,NULL,NULL,NULL
Cash Handling C,19,NULL,NULL,NULL
Consultancy Cha,19,NULL,NULL,NULL
Director Remune,19,NULL,NULL,NULL
EPF Expenses,19,NULL,NULL,NULL
Excel Tranport,19,NULL,NULL,NULL
Fedex India,19,NULL,NULL,NULL
Filing Feees,19,NULL,NULL,NULL
Forex Gain Loss,19,NULL,NULL,NULL
Freight Charges,19,NULL,NULL,NULL
Income Tax,19,NULL,NULL,NULL
Income Tax Asse,19,NULL,NULL,NULL
Insurance Expen,19,NULL,NULL,NULL
Interest on CC ,19,NULL,NULL,NULL
Interest on Ter,19,NULL,NULL,NULL
Interest on Uns,19,NULL,NULL,NULL
Jas Forwarders,19,NULL,NULL,NULL
Lease Rent,19,NULL,NULL,NULL
Licence Fee,19,NULL,NULL,NULL
Mill Expenses,19,NULL,NULL,NULL
Misc. Expens,19,NULL,NULL,NULL
Office Expenses,19,NULL,NULL,NULL
Other Salary,19,NULL,NULL,NULL
Phone & Mobile ,19,NULL,NULL,NULL
Postage & Couri,19,NULL,NULL,NULL
Printing & Stat,19,NULL,NULL,NULL
Professional Ta,19,NULL,NULL,NULL
Repairs,19,NULL,NULL,NULL
Repairs & Maint,19,NULL,NULL,NULL
Rhenus Logistic,19,NULL,NULL,NULL
Salary,19,NULL,NULL,NULL
Travelling Expe,19,NULL,NULL,NULL
VAT Assessment/,19,NULL,NULL,NULL
Discount Receiv,20,NULL,NULL,NULL
Interest Income,20,NULL,NULL,NULL
Interest on Fix,20,NULL,NULL,NULL
Misc. Income,20,NULL,NULL,NULL
Misc Receipts,20,NULL,NULL,NULL
Other Income,20,NULL,NULL,NULL
Round Off,20,NULL,NULL,NULL
Fixed Deposits,21,NULL,NULL,NULL
Consumables,27,NULL,NULL,NULL
Gunny Bag Purch,27,NULL,NULL,NULL
Packing Expense,27,NULL,NULL,NULL
Paddy Purchase,27,NULL,NULL,NULL
Purchase Tax Fr,27,NULL,NULL,NULL
Repair & Mainte,27,NULL,NULL,NULL
Rice Bran Purch,27,NULL,NULL,NULL
Rice Purchase A,27,NULL,NULL,NULL
Bran Sales,28,NULL,NULL,NULL
Broken Rice Sal,28,NULL,NULL,NULL
Gunny Bags Sale,28,NULL,NULL,NULL
RHA Sales,28,NULL,NULL,NULL
Rice Free Trade,28,NULL,NULL,NULL
Rice Husk Ash S,28,NULL,NULL,NULL
Suspense A/c,29,NULL,NULL,NULL
